"GUID","householdsTotal","noHeating","yearBuilt","mobHome","oneParent","onePerson","noCar","noInternet","priWater"
"4c07d11d-f702-851d-e053-ca3ca8c0ca7f",88,0,22,0,10,19,4,19,17
"4c07d11e-1233-851d-e053-ca3ca8c0ca7f",81,2,16,0,8,15,2,19,22
"4c07d11e-11ca-851d-e053-ca3ca8c0ca7f",83,3,20,0,10,11,4,10,52
"4c07d11e-11c9-851d-e053-ca3ca8c0ca7f",94,1,34,1,8,22,8,22,91
"4c07d11d-f755-851d-e053-ca3ca8c0ca7f",143,0,38,1,13,20,1,29,74
"4c07d11e-11d7-851d-e053-ca3ca8c0ca7f",72,0,21,1,4,12,2,17,59
"4c07d11e-122b-851d-e053-ca3ca8c0ca7f",74,1,16,0,3,12,4,20,36
"4c07d11e-12ad-851d-e053-ca3ca8c0ca7f",112,2,25,1,9,18,4,30,101
"4c07d11e-10d2-851d-e053-ca3ca8c0ca7f",116,2,35,1,7,22,7,24,65
"4c07d11e-1d89-851d-e053-ca3ca8c0ca7f",71,2,35,1,8,26,17,27,0
"4c07d11e-143f-851d-e053-ca3ca8c0ca7f",63,1,12,0,3,16,15,15,11
"4c07d11e-14eb-851d-e053-ca3ca8c0ca7f",52,0,3,0,6,11,1,7,1
"4c07d11e-12a6-851d-e053-ca3ca8c0ca7f",68,1,17,0,6,12,1,12,64
"4c07d11e-0a60-851d-e053-ca3ca8c0ca7f",63,1,2,0,6,11,0,5,0
"4c07d11d-f754-851d-e053-ca3ca8c0ca7f",76,2,22,0,5,14,4,18,34
"4c07d11e-14d4-851d-e053-ca3ca8c0ca7f",105,0,7,0,24,23,17,21,1
"4c07d11e-1d9b-851d-e053-ca3ca8c0ca7f",106,3,19,0,9,44,40,30,0
"4c07d11e-1d9d-851d-e053-ca3ca8c0ca7f",104,2,3,0,17,31,23,37,0
"4c07d11e-0a6a-851d-e053-ca3ca8c0ca7f",120,0,12,0,20,33,10,27,0
"4c07d11e-1da8-851d-e053-ca3ca8c0ca7f",111,3,4,0,14,54,32,55,0
"4c07d11e-09d2-851d-e053-ca3ca8c0ca7f",88,1,3,0,6,27,13,13,0
"4c07d11e-09d3-851d-e053-ca3ca8c0ca7f",130,2,20,0,24,25,24,29,1
"4c07d11e-0a61-851d-e053-ca3ca8c0ca7f",120,0,9,0,14,19,10,31,0
"4c07d11e-14d2-851d-e053-ca3ca8c0ca7f",112,1,33,0,10,34,16,32,0
"4c07d11e-1d90-851d-e053-ca3ca8c0ca7f",97,2,0,0,24,17,15,23,0
"4c07d11e-0a69-851d-e053-ca3ca8c0ca7f",110,0,0,0,25,21,22,25,0
"4c07d11e-09d4-851d-e053-ca3ca8c0ca7f",80,0,2,0,9,6,1,5,1
"4c07d11e-2e4f-851d-e053-ca3ca8c0ca7f",129,1,1,0,28,17,16,15,1
"4c07d11e-1d9c-851d-e053-ca3ca8c0ca7f",57,1,11,0,13,17,16,14,0
"4c07d11e-14d3-851d-e053-ca3ca8c0ca7f",100,3,18,0,11,19,7,18,0
"4c07d11e-1249-851d-e053-ca3ca8c0ca7f",96,3,28,0,3,13,5,21,61
"4c07d11d-f758-851d-e053-ca3ca8c0ca7f",101,1,30,0,8,24,3,22,68
"4c07d11e-2e11-851d-e053-ca3ca8c0ca7f",129,3,50,0,18,50,40,45,0
"4c07d11e-1d2b-851d-e053-ca3ca8c0ca7f",68,1,23,0,6,33,25,25,0
"4c07d11e-1d11-851d-e053-ca3ca8c0ca7f",80,0,9,0,5,38,14,14,0
"4c07d11e-1db5-851d-e053-ca3ca8c0ca7f",142,0,7,1,14,44,18,18,1
"4c07d11e-1d1f-851d-e053-ca3ca8c0ca7f",99,0,1,0,17,21,21,29,1
"4c07d11e-1d2d-851d-e053-ca3ca8c0ca7f",92,1,9,0,12,34,25,29,0
"4c07d11e-099a-851d-e053-ca3ca8c0ca7f",65,2,15,0,6,12,3,12,45
"4c07d11e-096e-851d-e053-ca3ca8c0ca7f",61,0,5,1,7,8,0,8,31
"4c07d11e-096f-851d-e053-ca3ca8c0ca7f",61,1,11,0,3,19,10,18,34
